Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;Grupo;BARRIO_AT;personas
1;01. NORTE;311;ALTOS DE BETANIA;(blank);SI;7
1;01. NORTE;328;CAMPESTRE NORTE ;A;NO;597
1;01. NORTE;328;CAMPESTRE NORTE ;B;NO;1249
1;01. NORTE;328;CAMPESTRE NORTE ;C;NO;704
1;01. NORTE;328;CAMPESTRE NORTE ;D;NO;57
1;01. NORTE;335;PUENTE NARIÑO;A;NO;466
1;01. NORTE;335;PUENTE NARIÑO;B;NO;492
1;01. NORTE;335;PUENTE NARIÑO;C;NO;78
1;01. NORTE;335;PUENTE NARIÑO;D;NO;7
1;01. NORTE;338;CAFE MADRID LA SEXTA;A;NO;18
1;01. NORTE;338;CAFE MADRID LA SEXTA;B;NO;51
1;01. NORTE;338;CAFE MADRID LA SEXTA;C;NO;28
1;01. NORTE;338;CAFE MADRID LA SEXTA;D;NO;5
1;01. NORTE;342;VILLAS DE SAN IGNACIO;A;NO;155
1;01. NORTE;342;VILLAS DE SAN IGNACIO;B;NO;347
1;01. NORTE;342;VILLAS DE SAN IGNACIO;C;NO;224
1;01. NORTE;342;VILLAS DE SAN IGNACIO;D;NO;31
1;01. NORTE;346;JARDINES DE ALTAGRACIA;A;NO;7
1;01. NORTE;346;JARDINES DE ALTAGRACIA;B;NO;42
1;01. NORTE;346;JARDINES DE ALTAGRACIA;C;NO;69
1;01. NORTE;346;JARDINES DE ALTAGRACIA;D;NO;18
1;01. NORTE;348;PORTAL DE LOS ANGELES;A;NO;99
1;01. NORTE;348;PORTAL DE LOS ANGELES;B;NO;312
1;01. NORTE;348;PORTAL DE LOS ANGELES;C;NO;258
1;01. NORTE;348;PORTAL DE LOS ANGELES;D;NO;33
1;01. NORTE;350;BETANIA ;A;NO;456
1;01. NORTE;350;BETANIA ;B;NO;1430
1;01. NORTE;350;BETANIA ;C;NO;1171
1;01. NORTE;350;BETANIA ;D;NO;92
1;01. NORTE;350;BETANIA ;(blank);NO;5
1;01. NORTE;351;CAFE MADRID LA ESTACION;A;NO;148
1;01. NORTE;351;CAFE MADRID LA ESTACION;B;NO;372
1;01. NORTE;351;CAFE MADRID LA ESTACION;C;NO;275
1;01. NORTE;351;CAFE MADRID LA ESTACION;D;NO;34
1;01. NORTE;354;MIRADOR DE COLORADOS;A;NO;22
1;01. NORTE;354;MIRADOR DE COLORADOS;B;NO;58
1;01. NORTE;354;MIRADOR DE COLORADOS;C;NO;79
1;01. NORTE;354;MIRADOR DE COLORADOS;D;NO;4
