Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;I1 - Bajo logro educativo;I2 - Analfabetismo;I3 - Inasistencia escolar;I4 - Rezago escolar;I5 - Barreras a servicios para cuidado de la primera infancia;I6 - Trabajo infantil;I7 - Desempleo de larga duracion;I8 - Trabajo informal;I9 - Sin aseguramiento en salud;I15 - Hacinamiento critico;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;0;1;0;1;1;1;0;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;0;1;0;1;1;1;1;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;0;0;0;0;14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;0;0;0;1;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;0;1;0;0;79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;0;1;0;1;47
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;1;0;0;0;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;1;0;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;1;1;0;0;36
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;0;0;1;1;0;1;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;1;0;0;0;1;0;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;1;0;0;1;0;0;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;1;0;0;1;1;0;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;1;0;0;1;1;1;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;1;0;1;0;1;0;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;0;1;1;0;1;1;1;1;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;0;0;0;0;0;0;0;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;0;0;0;0;0;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;0;0;0;0;1;0;0;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;0;0;0;0;1;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;0;0;0;1;0;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;0;1;0;0;0;1;0;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;0;1;0;0;0;1;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;1;0;0;0;0;0;0;14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;1;0;0;0;0;0;1;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;1;0;0;0;1;0;0;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;0;1;1;0;0;0;1;0;1;6
