Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;ind_discap_ninguna;personas
2;0;SIN CORREGIMIENTO;75;SAN RAFAEL;2-SAN RAFAEL;0;0;2;2
2;0;SIN CORREGIMIENTO;76;CHAPINERO;2-CHAPINERO;0;0;1;4
2;0;SIN CORREGIMIENTO;76;CHAPINERO;2-CHAPINERO;0;0;2;1
2;0;SIN CORREGIMIENTO;87;DON BOSCO;2-DON BOSCO;0;0;1;1
2;0;SIN CORREGIMIENTO;87;DON BOSCO;2-DON BOSCO;0;0;2;1
2;0;SIN CORREGIMIENTO;95;COMUNEROS;2-COMUNEROS;0;0;1;174
2;0;SIN CORREGIMIENTO;95;COMUNEROS;2-COMUNEROS;0;0;2;18
2;0;SIN CORREGIMIENTO;101;UNIVERSIDAD;2-UNIVERSIDAD;0;0;1;7
2;0;SIN CORREGIMIENTO;101;UNIVERSIDAD;2-UNIVERSIDAD;0;0;2;1
2;0;SIN CORREGIMIENTO;110;MORRORRICO;2-MORRORRICO;0;0;1;30
2;0;SIN CORREGIMIENTO;113;PUERTO RICO;2-PUERTO RICO;0;0;1;2
2;0;SIN CORREGIMIENTO;116;MIRAFLORES;2-MIRAFLORES;0;0;1;4
2;0;SIN CORREGIMIENTO;153;EL PANTANO I;2-EL PANTANO I;0;0;1;11
2;0;SIN CORREGIMIENTO;179;COLOMBIA;2-COLOMBIA;0;0;1;2
2;0;SIN CORREGIMIENTO;179;COLOMBIA;2-COLOMBIA;0;0;2;1
2;0;SIN CORREGIMIENTO;223;PORVENIR BAJO;2-PORVENIR BAJO;0;0;1;11
2;0;SIN CORREGIMIENTO;223;PORVENIR BAJO;2-PORVENIR BAJO;0;0;2;1
2;0;SIN CORREGIMIENTO;271;MONEQUE;2-MONEQUE;0;0;1;67
2;0;SIN CORREGIMIENTO;271;MONEQUE;2-MONEQUE;0;0;2;13
2;0;SIN CORREGIMIENTO;337;CIUDADELA CLUB COMFENALCO;2-CIUDADELA CLUB COMFENALCO;0;0;1;406
2;0;SIN CORREGIMIENTO;337;CIUDADELA CLUB COMFENALCO;2-CIUDADELA CLUB COMFENALCO;0;0;2;15
3;0;SIN CORREGIMIENTO;21;MIRADOR DE LA UIS;3-MIRADOR DE LA UIS;0;0;1;2
3;0;SIN CORREGIMIENTO;72;LA INDEPENDENCIA;3-LA INDEPENDENCIA;0;0;1;21
3;0;SIN CORREGIMIENTO;72;LA INDEPENDENCIA;3-LA INDEPENDENCIA;0;0;2;8
3;0;SIN CORREGIMIENTO;74;NORTE BAJO;3-NORTE BAJO;NORTE BAJO;SI;1;541
3;0;SIN CORREGIMIENTO;74;NORTE BAJO;3-NORTE BAJO;NORTE BAJO;SI;2;45
3;0;SIN CORREGIMIENTO;75;SAN RAFAEL;3-SAN RAFAEL;SAN RAFAEL;SI;1;1880
3;0;SIN CORREGIMIENTO;75;SAN RAFAEL;3-SAN RAFAEL;SAN RAFAEL;SI;2;224
3;0;SIN CORREGIMIENTO;76;CHAPINERO;3-CHAPINERO;CHAPINERO;SI;1;838
3;0;SIN CORREGIMIENTO;76;CHAPINERO;3-CHAPINERO;CHAPINERO;SI;2;94
3;0;SIN CORREGIMIENTO;95;COMUNEROS;3-COMUNEROS;COMUNEROS;SI;1;4194
3;0;SIN CORREGIMIENTO;95;COMUNEROS;3-COMUNEROS;COMUNEROS;SI;2;457
3;0;SIN CORREGIMIENTO;96;MODELO;3-MODELO;MODELO;SI;1;654
3;0;SIN CORREGIMIENTO;96;MODELO;3-MODELO;MODELO;SI;2;74
