Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;personas
4;0;SIN CORREGIMIENTO;82;GIRARDOT;4-GIRARDOT;GIRARDOT;SI;5190
4;0;SIN CORREGIMIENTO;83;ZARABANDA;4-ZARABANDA;ZARABANDA;SI;497
4;0;SIN CORREGIMIENTO;84;CUYANITA;4-CUYANITA;0;0;724
4;0;SIN CORREGIMIENTO;85;CAMILO TORRES;4-CAMILO TORRES;CAMILO TORRES;SI;677
4;0;SIN CORREGIMIENTO;86;SANTANDER;4-SANTANDER;SANTANDER;SI;1999
4;0;SIN CORREGIMIENTO;87;DON BOSCO;4-DON BOSCO;DON BOSCO;SI;985
4;0;SIN CORREGIMIENTO;89;NAPOLES CURTIEMBRE;4-NAPOLES CURTIEMBRE;0;0;432
4;0;SIN CORREGIMIENTO;90;LA GLORIA;4-LA GLORIA;LA GLORIA;SI;888
4;0;SIN CORREGIMIENTO;92;NARIÑO;4-NARIÑO;NARIÑO;SI;1897
4;0;SIN CORREGIMIENTO;93;PIO XII;4-PIO XII;SIN GEOJSON;SI;299
4;0;SIN CORREGIMIENTO;98;SAN FRANCISCO;4-SAN FRANCISCO;0;0;1
4;0;SIN CORREGIMIENTO;99;ALARCON;4-ALARCON;0;0;22
4;0;SIN CORREGIMIENTO;119;GALAN;4-GALAN;0;0;32
4;0;SIN CORREGIMIENTO;130;CENTRO;4-CENTRO;0;0;1
4;0;SIN CORREGIMIENTO;131;ANTONIA SANTOS CENTRO;4-ANTONIA SANTOS CENTRO;0;0;1
4;0;SIN CORREGIMIENTO;136;SOTOMAYOR;4-SOTOMAYOR;0;0;1
4;0;SIN CORREGIMIENTO;141;GARCIA ROVIRA;4-GARCIA ROVIRA;0;0;26
4;0;SIN CORREGIMIENTO;142;ALFONSO LOPEZ;4-ALFONSO LOPEZ;0;0;4
4;0;SIN CORREGIMIENTO;145;CAMPO HERMOSO;4-CAMPO HERMOSO;0;0;1
4;0;SIN CORREGIMIENTO;154;EL PANTANO II;4-EL PANTANO II;0;0;49
4;0;SIN CORREGIMIENTO;193;NUEVA GRANADA;4-NUEVA GRANADA;0;0;67
4;0;SIN CORREGIMIENTO;232;DANGOND;4-DANGOND;0;0;27
4;0;SIN CORREGIMIENTO;240;IGSABELAR;4-IGSABELAR;0;0;17
4;0;SIN CORREGIMIENTO;278;12 DE OCTUBRE;4-12 DE OCTUBRE;12 DE OCTUBRE;SI;1230
4;0;SIN CORREGIMIENTO;279;DIVINO NIÑO CENTRO ;4-DIVINO NIÑO CENTRO ;DIVINO NIÑO;SI;483
4;0;SIN CORREGIMIENTO;280;RESERVA DE LA INMACULADA;4-RESERVA DE LA INMACULADA;SIN GEOJSON;SI;1517
4;0;SIN CORREGIMIENTO;307;MILAGRO DE DIOS;4-MILAGRO DE DIOS;0;0;808
4;0;SIN CORREGIMIENTO;325;MARIA AUXILIADORA;4-MARIA AUXILIADORA;0;0;125
4;0;SIN CORREGIMIENTO;333;23 DE JUNIO;4-23 DE JUNIO;23 DE JUNIO;SI;596
4;0;SIN CORREGIMIENTO;345;PASEO DE LA FERIA;4-PASEO DE LA FERIA;0;0;1352
4;0;SIN CORREGIMIENTO;356;BAVARIA;4-BAVARIA;0;0;6
4;0;SIN CORREGIMIENTO;359;GETSEMANI;4-GETSEMANI;0;0;1
4;0;SIN CORREGIMIENTO;365;VILLAS DE GIRARDOT;4-VILLAS DE GIRARDOT;VILLAS DE GIRARDOT;SI;2049
4;0;SIN CORREGIMIENTO;368;URBANIZACION LA INMACULADA;4-URBANIZACION LA INMACULADA;0;0;2416
4;0;SIN CORREGIMIENTO;999999;BARRIO_S4;4-BARRIO_S4;0;0;1
5;0;SIN CORREGIMIENTO;17;RINCON DE LA PAZ;5-RINCON DE LA PAZ;RINCON DE LA PAZ;SI;946
5;0;SIN CORREGIMIENTO;82;GIRARDOT;5-GIRARDOT;0;0;2
5;0;SIN CORREGIMIENTO;141;GARCIA ROVIRA;5-GARCIA ROVIRA;0;0;64
5;0;SIN CORREGIMIENTO;142;ALFONSO LOPEZ;5-ALFONSO LOPEZ;0;0;3340
5;0;SIN CORREGIMIENTO;143;LA JOYA;5-LA JOYA;0;0;2026
5;0;SIN CORREGIMIENTO;144;CHORRERAS DE DON JUAN;5-CHORRERAS DE DON JUAN;0;0;660
5;0;SIN CORREGIMIENTO;145;CAMPO HERMOSO;5-CAMPO HERMOSO;0;0;6876
5;0;SIN CORREGIMIENTO;146;LA ESMERALDA;5-LA ESMERALDA;0;0;334
5;0;SIN CORREGIMIENTO;149;PRIMERO DE MAYO;5-PRIMERO DE MAYO;0;0;897
5;0;SIN CORREGIMIENTO;150;VILLAS DEL ROMERO;5-VILLAS DEL ROMERO;0;0;1
5;0;SIN CORREGIMIENTO;151;LA ESTRELLA;5-LA ESTRELLA;0;0;3
5;0;SIN CORREGIMIENTO;152;QUINTA ESTRELLA;5-QUINTA ESTRELLA;0;0;554
5;0;SIN CORREGIMIENTO;153;EL PANTANO I;5-EL PANTANO I;0;0;278
5;0;SIN CORREGIMIENTO;154;EL PANTANO II;5-EL PANTANO II;0;0;556
5;0;SIN CORREGIMIENTO;155;EL PANTANO III;5-EL PANTANO III;0;0;313
5;0;SIN CORREGIMIENTO;168;FUNDADORES I Y II;5-FUNDADORES I Y II;0;0;1
5;0;SIN CORREGIMIENTO;173;ESTORAQUES;5-ESTORAQUES;0;0;1654
5;0;SIN CORREGIMIENTO;175;PUNTA ESTRELLA;5-PUNTA ESTRELLA;0;0;19
5;0;SIN CORREGIMIENTO;192;LA SALLE;5-LA SALLE;0;0;5
5;0;SIN CORREGIMIENTO;285;URBANIZACION LOS BUCAROS;5-URBANIZACION LOS BUCAROS;0;0;38
5;0;SIN CORREGIMIENTO;296;LA PARCELA;5-LA PARCELA;0;0;1
5;0;SIN CORREGIMIENTO;301;CERVUNION;5-CERVUNION;0;0;1
5;0;SIN CORREGIMIENTO;328;CAMPESTRE NORTE ;5-CAMPESTRE NORTE ;0;0;2
5;0;SIN CORREGIMIENTO;329;VILLA DEL PRADO;5-VILLA DEL PRADO;0;0;146
5;0;SIN CORREGIMIENTO;336;12 DE FEBRERO;5-12 DE FEBRERO;NO;0;14
5;0;SIN CORREGIMIENTO;370;CAMPO MADRID;5-CAMPO MADRID;0;0;3
6;0;SIN CORREGIMIENTO;99;ALARCON;6-ALARCON;0;0;3
6;0;SIN CORREGIMIENTO;130;CENTRO;6-CENTRO;0;0;6
6;0;SIN CORREGIMIENTO;135;LA CONCORDIA;6-LA CONCORDIA;0;0;730
6;0;SIN CORREGIMIENTO;137;NUEVO SOTOMAYOR;6-NUEVO SOTOMAYOR;0;0;5
6;0;SIN CORREGIMIENTO;144;CHORRERAS DE DON JUAN;6-CHORRERAS DE DON JUAN;0;0;123
6;0;SIN CORREGIMIENTO;145;CAMPO HERMOSO;6-CAMPO HERMOSO;0;0;5
6;0;SIN CORREGIMIENTO;156;CANDILES;6-CANDILES;0;0;601
6;0;SIN CORREGIMIENTO;157;SAN MIGUEL;6-SAN MIGUEL;0;0;1090
6;0;SIN CORREGIMIENTO;158;GOMEZ NIÑO;6-GOMEZ NIÑO;0;0;44
6;0;SIN CORREGIMIENTO;159;RICAURTE;6-RICAURTE;0;0;601
6;0;SIN CORREGIMIENTO;160;LA CEIBA;6-LA CEIBA;0;0;18
6;0;SIN CORREGIMIENTO;162;CIUDADELA REAL DE MINAS ;6-CIUDADELA REAL DE MINAS ;0;0;1
6;0;SIN CORREGIMIENTO;180;CANELOS;6-CANELOS;0;0;6
6;0;SIN CORREGIMIENTO;191;LA VICTORIA;6-LA VICTORIA;0;0;54
6;0;SIN CORREGIMIENTO;194;CORDONCILLO I;6-CORDONCILLO I;0;0;9
6;0;SIN CORREGIMIENTO;195;PABLO VI;6-PABLO VI;0;0;12
6;0;SIN CORREGIMIENTO;274;BOLIVAR;6-BOLIVAR;0;0;1
6;0;SIN CORREGIMIENTO;286;MACAREGUA;6-MACAREGUA;0;0;2
6;0;SIN CORREGIMIENTO;308;LA CUÑITA;6-LA CUÑITA;0;0;1
7;0;SIN CORREGIMIENTO;131;ANTONIA SANTOS CENTRO;7-ANTONIA SANTOS CENTRO;0;0;2
7;0;SIN CORREGIMIENTO;158;GOMEZ NIÑO;7-GOMEZ NIÑO;0;0;5
7;0;SIN CORREGIMIENTO;159;RICAURTE;7-RICAURTE;0;0;2
7;0;SIN CORREGIMIENTO;162;CIUDADELA REAL DE MINAS ;7-CIUDADELA REAL DE MINAS ;0;0;68
7;0;SIN CORREGIMIENTO;163;BALCONCITOS;7-BALCONCITOS;0;0;481
7;0;SIN CORREGIMIENTO;164;MUTIS;7-MUTIS;0;0;7
7;0;SIN CORREGIMIENTO;171;CIUDAD BOLIVAR;7-CIUDAD BOLIVAR;0;0;99
7;0;SIN CORREGIMIENTO;177;LOS ALMENDROS;7-LOS ALMENDROS;0;0;13
7;0;SIN CORREGIMIENTO;178;SAN GERARDO I Y II;7-SAN GERARDO I Y II;0;0;48
7;0;SIN CORREGIMIENTO;180;CANELOS;7-CANELOS;0;0;2
7;0;SIN CORREGIMIENTO;182;BUCARAMANGA;7-BUCARAMANGA;0;0;18
7;0;SIN CORREGIMIENTO;184;LAURELES;7-LAURELES;0;0;1
7;0;SIN CORREGIMIENTO;187;LOS NARANJOS;7-LOS NARANJOS;0;0;10
7;0;SIN CORREGIMIENTO;189;SAMANES;7-SAMANES;0;0;6
7;0;SIN CORREGIMIENTO;273;BALCONES DE GRATAMIRA;7-BALCONES DE GRATAMIRA;0;0;8
7;0;SIN CORREGIMIENTO;286;MACAREGUA;7-MACAREGUA;0;0;1
8;0;SIN CORREGIMIENTO;12;CAFE MADRID EL TUNEL;8-CAFE MADRID EL TUNEL;0;0;2
8;0;SIN CORREGIMIENTO;18;5 DE ENERO;8-5 DE ENERO;0;0;2
8;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;8-MINUTO DE DIOS;0;0;3
8;0;SIN CORREGIMIENTO;115;BUENAVISTA;8-BUENAVISTA;0;0;3
8;0;SIN CORREGIMIENTO;160;LA CEIBA;8-LA CEIBA;0;0;4
