Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;H_5_Pobre o no;personas
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;59;LA GRANJITA;0;108
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;59;LA GRANJITA;1;121
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;61;REGADERO NORTE;0;1342
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;61;REGADERO NORTE;1;281
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;62;PRIMAVERAL REGADERO;0;123
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;62;PRIMAVERAL REGADERO;1;37
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;64;LA JUVENTUD;0;1052
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;64;LA JUVENTUD;1;319
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;65;ESPERANZA I;0;1077
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;65;ESPERANZA I;1;345
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;66;SAN CRISTOBAL;0;641
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;66;SAN CRISTOBAL;1;186
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;67;TRANSICI‡N I AL V;0;3963
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;67;TRANSICI‡N I AL V;1;1417
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;68;NUEVA COLOMBIA;0;309
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;68;NUEVA COLOMBIA;1;95
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;0;1372
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;1;801
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;70;OLITAS;0;280
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;70;OLITAS;1;81
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;71;BOSQUE NORTE ;0;1053
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;71;BOSQUE NORTE ;1;250
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;0;2771
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;1;900
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;0;111
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;1;36
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;0;4
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;1;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;0;5
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;87;DON BOSCO;0;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;0;168
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;1;24
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;0;7
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;1;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;110;MORRORRICO;0;10
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;110;MORRORRICO;1;20
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;1;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;116;MIRAFLORES;1;4
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;153;EL PANTANO I;0;11
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;179;COLOMBIA;0;3
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;223;PORVENIR BAJO;1;12
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;271;MONEQUE;0;65
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;271;MONEQUE;1;15
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;337;CIUDADELA CLUB COMFENALCO;0;373
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;337;CIUDADELA CLUB COMFENALCO;1;48
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;1;2
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;0;27
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;1;2
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;0;469
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;1;117
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;0;1665
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;1;439
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;0;759
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;1;173
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;0;3853
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;1;798
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;96;MODELO;0;615
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;96;MODELO;1;113
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;97;MUTUALIDAD;0;1077
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;97;MUTUALIDAD;1;175
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;98;SAN FRANCISCO;0;1726
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;98;SAN FRANCISCO;1;329
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;99;ALARC‡N;0;195
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;99;ALARC‡N;1;30
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;100;SAN ALONSO;0;11
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;100;SAN ALONSO;1;2
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;0;112
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;1;18
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;0;129
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;1;23
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;130;CENTRO;0;4
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;131;ANTONIA SANTOS CENTRO;0;5
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;195;PABLO VI;0;37
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;195;PABLO VI;1;14
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;218;SAN EXPEDITO;0;4
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;218;SAN EXPEDITO;1;1
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENT÷N;0;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;0;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;0;3
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;1;3
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;0;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;16;GALLINERAL;0;191
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;16;GALLINERAL;1;257
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;18;5 DE ENERO;0;128
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;18;5 DE ENERO;1;263
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;20;CARLOS PIZARRO;0;64
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;20;CARLOS PIZARRO;1;73
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;22;JOSE ANTONIO GALµN;0;1082
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;22;JOSE ANTONIO GALµN;1;589
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;0;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MAR÷A C‡RDOBA;0;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;73;CINAL I II Y III;0;365
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;73;CINAL I II Y III;1;177
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;0;22
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;1;4
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;0;4
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;77;GAITµN;0;3039
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;77;GAITµN;1;686
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;78;GRANADA;0;580
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;78;GRANADA;1;147
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;79;LA FERIA;0;493
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;79;LA FERIA;1;165
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;80;NAPOLES;0;641
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;80;NAPOLES;1;262
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;82;GIRARDOT;0;4189
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;82;GIRARDOT;1;1001
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;83;ZARABANDA;0;353
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;83;ZARABANDA;1;144
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;84;CUYANITA;0;320
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;84;CUYANITA;1;404
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;85;CAMILO TORRES;0;435
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;85;CAMILO TORRES;1;242
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;86;SANTANDER;0;1625
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;86;SANTANDER;1;374
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;87;DON BOSCO;0;822
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;87;DON BOSCO;1;163
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;89;NAPOLES CURTIEMBRE;0;303
