Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;tip_actividad_mes;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;2;376
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;3;484
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;4;443
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;5;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;6;88
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;7;91
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;9;273
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;0;40
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;1;260
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;2;102
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;3;169
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;4;144
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;6;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;7;35
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;9;148
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;0;40
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;1;237
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;2;83
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;3;121
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;4;125
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;6;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;7;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;9;99
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;0;201
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;1;1253
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;2;393
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;3;696
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;4;577
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;5;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;6;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;7;80
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MARÍA PAZ;9;555
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;0;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;1;172
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;2;62
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;3;92
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;4;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;6;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;7;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;9;58
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;0;44
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;1;346
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;2;80
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;3;161
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;4;143
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;6;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;7;24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;9;104
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;0;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;1;45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;2;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;3;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;4;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;6;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;7;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;9;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;0;75
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;1;281
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;2;109
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;3;178
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;4;154
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;6;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;7;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;9;107
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;0;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;1;71
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;2;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;3;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;4;25
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;6;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;7;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;39;OMAGA I ;9;25
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;0;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;1;160
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;2;53
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;3;82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;4;53
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;6;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;7;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;40;MIRAMAR;9;55
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;0;64
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;1;372
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;2;114
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;3;221
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;4;173
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;6;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;7;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;9;143
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;0;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;1;119
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;2;36
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;3;55
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;4;60
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;6;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;7;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;9;79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MARÍA;0;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MARÍA;1;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MARÍA;4;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;1;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;6;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;0;81
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;1;347
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;2;118
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;3;180
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;4;184
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;6;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;7;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;9;102
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;0;39
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;1;240
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;2;62
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;3;131
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;4;110
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;6;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;7;10
