Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;ind_discap_ninguna;personas
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;2;101
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MARÍA CÓRDOBA;1;733
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MARÍA CÓRDOBA;2;45
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;1;73
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;2;6
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;1;260
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;2;16
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;51;LIZCANO I Y II;1;571
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;51;LIZCANO I Y II;2;38
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;52;ESPERANZA II;1;1793
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;52;ESPERANZA II;2;224
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;53;ESPERANZA III;1;1010
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;53;ESPERANZA III;2;91
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;1;1000
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;2;80
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;57;BOSCONIA ;1;7
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;57;BOSCONIA ;2;3
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;1;5
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;59;LA GRANJITA;1;226
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;59;LA GRANJITA;2;3
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;61;REGADERO NORTE;1;1444
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;61;REGADERO NORTE;2;179
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;62;PRIMAVERAL REGADERO;1;151
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;62;PRIMAVERAL REGADERO;2;9
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;64;LA JUVENTUD;1;1238
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;64;LA JUVENTUD;2;133
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;65;ESPERANZA I;1;1291
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;65;ESPERANZA I;2;131
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;66;SAN CRISTOBAL;1;722
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;66;SAN CRISTOBAL;2;105
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;67;TRANSICIÓN I AL V;1;4876
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;67;TRANSICIÓN I AL V;2;504
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;68;NUEVA COLOMBIA;1;370
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;68;NUEVA COLOMBIA;2;34
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;1;2046
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;2;127
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;70;OLITAS;1;324
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;70;OLITAS;2;37
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;71;BOSQUE NORTE ;1;1187
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;71;BOSQUE NORTE ;2;116
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;1;3337
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;2;334
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;1;137
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;2;10
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;1;3
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;2;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;1;4
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;2;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;87;DON BOSCO;1;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;87;DON BOSCO;2;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;1;174
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;2;18
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;1;7
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;2;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;110;MORRORRICO;1;30
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;1;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;116;MIRAFLORES;1;4
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;153;EL PANTANO I;1;11
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;179;COLOMBIA;1;2
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;179;COLOMBIA;2;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;223;PORVENIR BAJO;1;11
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;223;PORVENIR BAJO;2;1
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;271;MONEQUE;1;67
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;271;MONEQUE;2;13
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;337;CIUDADELA CLUB COMFENALCO;1;406
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;337;CIUDADELA CLUB COMFENALCO;2;15
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;21;MIRADOR DE LA UIS;1;2
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;1;21
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;72;LA INDEPENDENCIA;2;8
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;1;541
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;2;45
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;1;1880
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;2;224
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;1;838
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;76;CHAPINERO;2;94
