Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Grupo;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;D;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;A;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;B;61
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;C;113
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;58;13 DE JUNIO;D;27
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;69;VILLA MERCEDES;C;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFê MADRID LA 40;A;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFê MADRID LA 40;B;44
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFê MADRID LA 40;C;48
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;88;CAFê MADRID LA 40;D;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;91;TEJADITOS;A;19
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;91;TEJADITOS;B;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;91;TEJADITOS;C;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;A;229
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;B;303
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;C;111
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;94;EL NOGAL 2;D;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;108;LIMONCITO MORRORRICO;A;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;229;VILLA SARA;A;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;A;27
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;B;80
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;C;59
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;230;VILLA ALICIA;D;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;A;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;B;53
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;C;38
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;235;DELICIAS NORTE;D;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;244;VILLA FLOR;B;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;A;111
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;B;286
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;C;95
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;247;LA FORTUNA;D;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;A;51
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;B;244
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;C;126
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;281;SAN IGNACIO REAL;D;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;A;40
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;B;74
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;C;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;291;CAMINOS DE PAZ;D;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;292;LAS TUNAS;A;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;A;61
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;B;297
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;C;402
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;297;TEJAR II;D;93
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;A;68
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;B;229
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;C;262
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;298;TEJAR I;D;43
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;A;104
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;B;264
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;C;208
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;299;OMAGA II;D;24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;A;114
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;B;165
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;C;103
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;301;CERVUNION;D;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;302;ASENTAMIENTO LUZ DE ESPERANZA;A;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;302;ASENTAMIENTO LUZ DE ESPERANZA;B;19
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;302;ASENTAMIENTO LUZ DE ESPERANZA;C;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENT÷N;A;137
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENT÷N;B;258
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENT÷N;C;174
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENT÷N;D;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;A;224
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;B;558
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;C;404
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;D;46
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;311;ALTOS DE BETANIA;(blank);7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;A;597
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;B;1249
