Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;ind_estudia;personas
1;0;SIN CORREGIMIENTO;348;PORTAL DE LOS ANGELES;1-PORTAL DE LOS ANGELES;0;0;1;158
1;0;SIN CORREGIMIENTO;348;PORTAL DE LOS ANGELES;1-PORTAL DE LOS ANGELES;0;0;2;478
1;0;SIN CORREGIMIENTO;348;PORTAL DE LOS ANGELES;1-PORTAL DE LOS ANGELES;0;0;9;66
1;0;SIN CORREGIMIENTO;350;BETANIA ;1-BETANIA ;0;0;1;722
1;0;SIN CORREGIMIENTO;350;BETANIA ;1-BETANIA ;0;0;2;2089
1;0;SIN CORREGIMIENTO;350;BETANIA ;1-BETANIA ;0;0;9;343
1;0;SIN CORREGIMIENTO;351;CAFE MADRID LA ESTACION;1-CAFE MADRID LA ESTACION;0;0;1;208
1;0;SIN CORREGIMIENTO;351;CAFE MADRID LA ESTACION;1-CAFE MADRID LA ESTACION;0;0;2;544
1;0;SIN CORREGIMIENTO;351;CAFE MADRID LA ESTACION;1-CAFE MADRID LA ESTACION;0;0;9;77
1;0;SIN CORREGIMIENTO;354;MIRADOR DE COLORADOS;1-MIRADOR DE COLORADOS;0;0;1;31
1;0;SIN CORREGIMIENTO;354;MIRADOR DE COLORADOS;1-MIRADOR DE COLORADOS;0;0;2;113
1;0;SIN CORREGIMIENTO;354;MIRADOR DE COLORADOS;1-MIRADOR DE COLORADOS;0;0;9;19
1;0;SIN CORREGIMIENTO;356;BAVARIA;1-BAVARIA;0;0;1;614
1;0;SIN CORREGIMIENTO;356;BAVARIA;1-BAVARIA;0;0;2;1853
1;0;SIN CORREGIMIENTO;356;BAVARIA;1-BAVARIA;0;0;9;270
1;0;SIN CORREGIMIENTO;357;CAFE MADRID CORRALES;1-CAFE MADRID CORRALES;0;0;1;9
1;0;SIN CORREGIMIENTO;357;CAFE MADRID CORRALES;1-CAFE MADRID CORRALES;0;0;2;33
1;0;SIN CORREGIMIENTO;357;CAFE MADRID CORRALES;1-CAFE MADRID CORRALES;0;0;9;7
1;0;SIN CORREGIMIENTO;359;GETSEMANI;1-GETSEMANI;0;0;1;112
1;0;SIN CORREGIMIENTO;359;GETSEMANI;1-GETSEMANI;0;0;2;321
1;0;SIN CORREGIMIENTO;359;GETSEMANI;1-GETSEMANI;0;0;9;52
1;0;SIN CORREGIMIENTO;361;VILLAS DEL NOGAL;1-VILLAS DEL NOGAL;0;0;1;1
1;0;SIN CORREGIMIENTO;361;VILLAS DEL NOGAL;1-VILLAS DEL NOGAL;0;0;2;2
1;0;SIN CORREGIMIENTO;361;VILLAS DEL NOGAL;1-VILLAS DEL NOGAL;0;0;9;1
1;0;SIN CORREGIMIENTO;366;LOS CEDROS NORTE;1-LOS CEDROS NORTE;0;0;1;27
1;0;SIN CORREGIMIENTO;366;LOS CEDROS NORTE;1-LOS CEDROS NORTE;0;0;2;44
1;0;SIN CORREGIMIENTO;366;LOS CEDROS NORTE;1-LOS CEDROS NORTE;0;0;9;7
1;0;SIN CORREGIMIENTO;370;CAMPO MADRID;1-CAMPO MADRID;SIN GEOJSON;SI;1;1139
1;0;SIN CORREGIMIENTO;370;CAMPO MADRID;1-CAMPO MADRID;SIN GEOJSON;SI;2;2530
1;0;SIN CORREGIMIENTO;370;CAMPO MADRID;1-CAMPO MADRID;SIN GEOJSON;SI;9;367
2;0;SIN CORREGIMIENTO;0;BARRIO_S4;2-BARRIO_S4;0;0;1;113
2;0;SIN CORREGIMIENTO;0;BARRIO_S4;2-BARRIO_S4;0;0;2;325
2;0;SIN CORREGIMIENTO;0;BARRIO_S4;2-BARRIO_S4;0;0;9;54
2;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;2-EL ROSAL COLORADOS;0;0;2;1
2;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;2-EL ROSAL COLORADOS;0;0;9;1
2;0;SIN CORREGIMIENTO;21;MIRADOR DE LA UIS;2-MIRADOR DE LA UIS;0;0;1;221
2;0;SIN CORREGIMIENTO;21;MIRADOR DE LA UIS;2-MIRADOR DE LA UIS;0;0;2;526
2;0;SIN CORREGIMIENTO;21;MIRADOR DE LA UIS;2-MIRADOR DE LA UIS;0;0;9;86
2;0;SIN CORREGIMIENTO;37;LOS CUADROS;2-LOS CUADROS;0;0;1;211
2;0;SIN CORREGIMIENTO;37;LOS CUADROS;2-LOS CUADROS;0;0;2;610
2;0;SIN CORREGIMIENTO;37;LOS CUADROS;2-LOS CUADROS;0;0;9;95
